"ID_plot","perc.Impervious.surfaces","Population.density","Prop.Neophytes","BNIs","SR","SR.nat","SR.arc","SR.neo","Rao.Q"
"Brb_Nh_04",0.033038203,0.011287456,0,0.103494066788567,17,15,2,0,0.0681149787422449
"Brb_Nl_02",8.165297336,1.249699833,0.0303030303030303,0.234267047461385,33,26,6,1,0.0704542806606344
"Brb_Nm_03",10.74488865,10.05117976,0.1875,0.554159439184816,16,9,4,3,0.0581196220251605
"Brb_Oh_01",5.123067934,0.08919478,0.108108108108108,0.327844264928946,37,25,8,4,0.0663229966822489
"Brb_Ol_03",2.69787647,3.267042239,0.0285714285714286,0.152439128922774,35,23,11,1,0.0854307055098964
"Brb_Ol_04",8.495434027,8.675726909,0.103448275862069,0.174751204945449,29,21,5,3,0.0850567772730697
"Brb_Om_03",2.726828848,1.277600643,0.0645161290322581,0.18249795305097,31,22,7,2,0.0621427271487576
"Nh_02",13.06210162,1.349422558,0.0294117647058824,0.184940918921228,34,27,6,1,0.0593756028602968
"Nh_04",15.03303403,16.95780119,0.0606060606060606,0.109700809902318,33,25,6,2,0.0642409771274953
"Nh_05",15.62042232,23.98011791,0.0625,0.153991444823821,32,26,4,2,0.0673645102149894
"Nh_10",38.45486093,10.38682427,0.129032258064516,0.438141299482612,31,21,6,4,0.102326924363575
"Nh_11",9.985880579,2.508689986,0.105263157894737,0.313660769879903,19,12,5,2,0.0568444839364979
"Nh_51",4.375614422,0.016273498,0.08,0.138872550465946,25,17,6,2,0.0617402359696448
"Nh_201",22.64304139,3.994589351,0.157894736842105,0.111685178929136,19,13,3,3,0.0503501941748669
"Nl_03",15.55840432,11.33173089,0.111111111111111,0.189182335860233,36,25,7,4,0.0743813090665581
"Nl_05",43.2063175,67.957262,0.114285714285714,0.372556909698033,35,24,7,4,0.0797639993423759
"Nl_09",56.65716858,101.1527812,0.142857142857143,0.230777391547141,28,20,4,4,0.069434908742881
"Nl_14",62.77824415,105.276738,0.21875,0.854389884797535,32,19,6,7,0.107921015987526
"Nl_16",10.042086,0,0.133333333333333,0.239919537079405,30,19,7,4,0.0771203391465504
"Nl_18",12.34553491,9.284352764,0.15625,0.279510318746554,32,22,5,5,0.0805462860275013
"Nl_55",32.38531242,28.63120099,0.145833333333333,0.422164213243498,48,29,12,7,0.0795420402500017
"Nl_56",54.40205243,12.98569312,0.0384615384615385,0.371213452295504,26,17,8,1,0.0739887885880335
"Nl_200",61.55944794,93.2347972,0.0344827586206897,0.135840685841711,29,21,7,1,0.0701383862429854
"Nl_205",38.18809517,31.23799594,0.12,0.29849353167129,25,16,6,3,0.0866880021776232
"Nl_206",39.02503405,74.20640794,0.0357142857142857,0.0949029658435673,28,19,8,1,0.0895186700807769
"Nl_208",51.75384685,89.3238856,0.03125,0.143694617945873,32,24,7,1,0.0565466573938116
"Nl_211",44.01499079,67.77697975,0.111111111111111,0.250421513088686,27,19,5,3,0.0908084102083379
"Nl_214",54.18341128,39.17698675,0.0909090909090909,0.535708506903601,33,19,11,3,0.0801676368217823
"Nl_220",67.58884996,54.55714629,0.153846153846154,0.430759158138838,13,11,0,2,0.065396764274782
"Nm_02",3.452876791,0,0.0555555555555556,0.34164825026336,36,25,9,2,0.0819215386119152
"Nm_03",1.417095738,0.374063905,0,0.129945428543409,9,8,1,0,0.0196924225369224
"Nm_05",42.11579112,4.080392181,0.142857142857143,0.341874587315191,28,18,6,4,0.071232048815487
"Nm_07",41.16516296,2.951166406,0.12,0.36396704972476,25,12,10,3,0.0716940537657174
"Nm_09",32.73133882,17.0689831,0.0434782608695652,0.245853649321427,23,18,4,1,0.0637847176889538
"Nm_14",30.44468626,19.876756,0.0526315789473684,0.0767263289742661,19,13,5,1,0.0574831833175389
"Nm_50",3.473909307,0.407319306,0.125,0.354537413718198,40,26,9,5,0.0782012023183049
"Nm_201",65.20484527,20.94982571,0.12,0.10084341764619,25,19,3,3,0.0702976228081793
"Nm_202",32.64042579,28.66354317,0.0967741935483871,0.29697964115246,31,22,6,3,0.070556276427535
"Oh_01",10.96370594,6.913974475,0.037037037037037,0.0909622131644035,27,22,4,1,0.0856040227328115
"Oh_02",40.50267815,28.52876463,0.142857142857143,0.694296170587869,28,19,5,4,0.0948252647472771
"Oh_03",6.112956613,0,0.0967741935483871,0.168959900273687,31,20,8,3,0.0600038639638479
"Oh_04",1.233163376,0,0,0.0335228501346872,12,11,1,0,0.0535370048760133
"Oh_07",1.500315081,0,0.0476190476190476,0.212278477374279,21,17,3,1,0.0739854019213831
