"Species","Genus","Allergen.name","Allergen.genus.name","Allergen.family","Databases","Manual.reference","Alternative.molecule.names","Matched.species.names","Match.types"
"Agrostis_capillaris","Agrostis","Poe_1","Poe_1","AF093: Expansin and expansin-like","AllergenOnline;AllergomeData","","Agr a 1;Agr g 1;Agr ca 1;Spo in 1","Agrostis_alba;Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass;Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","1b"
"Agrostis_capillaris","Agrostis","Poe_12","Poe_12","AF051: Profilin","allergen added based on Grass taxonomy","","","","1b"
"Agrostis_capillaris","Agrostis","Poe_4","Poe_4","AF099: Berberine bridge enzyme","AllergomeData","","Agr g 4","Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass","1b"
"Agrostis_capillaris","Agrostis","Poe_5","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","","Agr ca 5;Agr s 5","Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_stolonifera;_Creeping_Bent;_Grasses;_Plants;_Poaceae","1b"
"Agrostis_capillaris","Agrostis","Poe_7","Poe_7","AF007: EF hand family","AllergomeData","","Spo in 7","Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","1b"
"Agrostis_capillaris","Agrostis","Spo_in_13","Agrostis_13","AF057: Polygalacturonase","AllergomeData","","Spo in 13","Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","3"
"Agrostis_gigantea","Agrostis","Poe_1","Poe_1","AF093: Expansin and expansin-like","AllergenOnline;AllergomeData","","Agr a 1;Agr g 1;Agr ca 1;Spo in 1","Agrostis_alba;Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass;Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","1b"
"Agrostis_gigantea","Agrostis","Poe_12","Poe_12","AF051: Profilin","allergen added based on Grass taxonomy","","","","1b"
"Agrostis_gigantea","Agrostis","Poe_4","Poe_4","AF099: Berberine bridge enzyme","AllergomeData","","Agr g 4","Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass","1b"
"Agrostis_gigantea","Agrostis","Poe_5","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","","Agr ca 5;Agr s 5","Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_stolonifera;_Creeping_Bent;_Grasses;_Plants;_Poaceae","1b"
