"Species_name","Accepted_name","Family","Tribe","Frequency","Freq_rural","Freq_suburb","Freq_urban","Status_Berlin","first_evidence","Flowering_beg","Flowering_end","fl_period","phenology_score","main_pollination","Mueller_flower_type","pollen_score","trait_source","allergenicity_strict","allergenicity","allergen_score","PAV","IUIS","SDAP","Allergenonline","Allergome","AllFam","additional_ref","react_europe_Allergome","FDA_allergen_code","ref_severity","Comment_severity","molecule_unknown"
"Achillea millefolium","Achillea_millefolium","Asteraceae","Anthemideae",34,12,10,12,"I",,"June","October",4,3,"insects","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,"BioFlor- 2018",0,1,1,3,0,0,0,0,0,1,"",1274,"Kiistala 1999; Compes 2006","severity unclear; extrapolate from slight cross reactivity with other Asteraceae",1
"Agrimonia eupatoria","Agrimonia_eupatoria","Rosaceae","Sanguisorbeae",1,0,1,0,"I",,"June","September",3,3,"insects-selfing","Po (pollen flowers)Typical pollinators: short tongued bees, syrphids, flies, beetles",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Agrostis capillaris","Agrostis_capillaris","Poaceae","Poeae",36,17,11,8,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,1,0,1,,599,"Weber 2004","cross-reactivity with other Pooideae",0
"Agrostis gigantea","Agrostis_gigantea","Poaceae","Poeae",4,1,1,2,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,1,0,1,,,"Weber 2004","cross-reactivity with other Pooideae",0
"Agrostis stolonifera","Agrostis_stolonifera","Poaceae","Poeae",1,0,0,1,"I",,"June","July",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,3,9,0,0,0,1,0,1,,600,"Weber 2004","cross-reactivity with other Pooideae",0
"Ajuga genevensis","Ajuga_genevensis","Lamiaceae",,1,0,1,0,"I",,"April","June",2,2,"insects","Hh (bumble bee flowers)Typical pollinators: bumble bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Ambrosia coronopifolia","Ambrosia_psilostachya","Asteraceae","Heliantheae",2,0,0,2,"N",1946,"August","October",2,2,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,4,24,1,1,1,1,1,1,"40%",1189,"Weber 2004","Major allergen; cross-reactivity with otehr Ragweeds",0
"Anchusa officinalis","Anchusa_officinalis","Boraginaceae","Boragineae",6,1,1,4,"A",,"May","August",3,3,"insects","H (hymenoptere flowers)Typical pollinators: hymenopteres",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Anthoxanthum odoratum","Anthoxanthum_odoratum","Poaceae","Poeae",2,2,0,0,"I",,"May","June",1,1,"wind","W (wind flowers)Typical pollinators: -",3,"BioFlor- 2018",1,1,4,12,1,1,1,1,1,1,"64%",,"Weber 2004; Niederberger 1998","cross-reactivity with other Pooideae; Allergome; IUIS",0
"Anthriscus caucalis","Anthriscus_caucalis","Apiaceae","Scandiceae",1,0,0,1,"A",,"May","June",1,1,"insects-selfing","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",1,"BioFlor- 2018",0,0,0,0,0,0,0,0,0,0,"",,"","",0
"Arabidopsis arenosa subsp. arenosa","Arabidopsis_arenosa_subsp._arenosa","Brassicaceae",,1,0,0,1,"I",,"April","August",4,3,"insects","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,"BioFlor- 2018",0,1,1,3,0,0,0,0,0,1,"",,"Chardin 2013","(reference for A. thaliana) - extended for the genus",0
